OWNRSHP_ID,GPI_CAT_CD,DLVR_PNT_TRTY_ID,EPM_CAT_SUFFIX,EXPECTED SETTLEMENT,ACTUAL SETTLEMENT,VARIANCE
         10,DAS,        999,#,           756221.89,           756221.89,                 .00
         10,SPK,        999,#,            47958.15,            47958.15,                 .00
         10,POWVT,        999,#,          -211398.50,          -211398.50,                 .00
         10,AOS,        999,#,           568206.43,           568206.43,                 .00
         10,DAS,        999,C,         -1150258.20,         -1150258.20,                 .00
         30,SPK,      10111,#,            -6131.10,            -6131.10,                 .00
         30,SPK,      30516,#,           -27151.54,           -27151.54,                 .00
         30,SPK,      10035,#,          -129855.99,          -129855.99,                 .00
         30,DAS,      10204,C,           -19003.54,           -19003.54,                 .00
         30,DAS,      10003,C,           -23951.56,           -23951.56,                 .00
         30,POWVT,      10111,#,           -16550.64,           -16550.64,                 .00
         30,AOS,      30528,#,            -1053.12,            -1053.12,                 .00
         30,POWVT,      10202,#,            -6103.87,            -6103.87,                 .00
         30,POWVT,      10143,#,           -11784.42,           -11784.42,                 .00
         30,POWVT,      10060,#,            -6576.34,            -6576.34,                 .00
         30,SPK,      30052,#,           -11186.83,           -11186.83,                 .00
         30,DAS,      10185,C,            -7776.56,            -7776.56,                 .00
         30,DAS,      30052,C,           -11906.30,           -11906.30,                 .00
         30,DAS,      10013,C,           -41778.47,           -41778.47,                 .00
         30,DAS,      30516,C,            -7910.65,            -7910.65,                 .00
         30,SPK,      10078,#,           -18993.26,           -18993.26,                 .00
         30,SPK,      10226,#,            -9557.49,            -9557.49,                 .00
         30,DAS,      10143,#,             4878.89,             4878.89,                 .00
         30,DAS,      10102,C,           -28216.39,           -28216.39,                 .00
         30,AOS,      30052,#,            -3541.63,            -3541.63,                 .00
         30,POWVT,      10185,#,            -9464.83,            -9464.83,                 .00
         30,AOS,      30537,#,            -1000.13,            -1000.13,                 .00
         30,DAS,      30054,#,             3634.32,             3634.32,                 .00
         30,DAS,      10065,C,           -11118.52,           -11118.52,                 .00
         30,DAS,      10094,#,             2462.70,             2462.70,                 .00
         30,AOS,      10226,#,            -1310.53,            -1310.53,                 .00
         30,SPK,      10153,#,           -14244.09,           -14244.09,                 .00
         30,SPK,      10225,#,           -22260.01,           -22260.01,                 .00
         30,DAS,      10111,C,           -10160.18,           -10160.18,                 .00
         30,DAS,      10226,#,             3117.14,             3117.14,                 .00
         30,DAS,      10043,#,             1900.98,             1900.98,                 .00
         30,DAS,      10103,C,            -7965.29,            -7965.29,                 .00
         30,AOS,      10078,#,           -12772.87,           -12772.87,                 .00
         30,DAS,      10009,#,             1641.72,             1641.72,                 .00
         30,DAS,      10078,C,           -13573.40,           -13573.40,                 .00
         30,AOS,      10065,#,            -1094.33,            -1094.33,                 .00
         30,AOS,     580001,#,             -487.73,             -487.73,                 .00
         30,DAS,      10013,#,            22366.53,            22366.53,                 .00
         30,DAS,      10103,#,             2192.11,             2192.11,                 .00
         30,DAS,      30530,#,            20720.14,            20720.14,                 .00
         30,AOS,      10230,#,             1678.39,             1678.39,                 .00
         30,POWVT,      10013,#,           -61314.58,           -61314.58,                 .00
         30,DAS,      30530,C,           -24675.93,           -24675.93,                 .00
         30,SPK,      10230,#,           -34522.78,           -34522.78,                 .00
         30,POWVT,      10084,#,           -22037.45,           -22037.45,                 .00
         30,SPK,      10003,#,           -41623.03,           -41623.03,                 .00
         30,POWVT,      30052,#,            -8626.39,            -8626.39,                 .00
         30,AOS,      10035,#,            -6402.86,            -6402.86,                 .00
         30,DAS,      10149,#,             2719.80,             2719.80,                 .00
         30,POWVT,      10062,#,            -3797.80,            -3797.80,                 .00
         30,AOS,      10052,#,              807.14,              807.14,                 .00
         30,AOS,      10009,#,             -764.17,             -764.17,                 .00
         30,DAS,      10021,C,            -7506.83,            -7506.83,                 .00
         30,DAS,      10107,#,            11497.62,            11497.62,                 .00
         30,POWVT,      10222,#,            -7286.03,            -7286.03,                 .00
         30,SPK,      10161,#,           -37455.22,           -37455.22,                 .00
         30,POWVT,      10204,#,           -18828.55,           -18828.55,                 .00
         30,DAS,      30054,C,            -5336.95,            -5336.95,                 .00
         30,DAS,      10111,#,             3932.29,             3932.29,                 .00
         30,POWVT,      10103,#,           -12497.20,           -12497.20,                 .00
         30,DAS,      30513,C,            -7895.61,            -7895.61,                 .00
         30,DAS,      30516,#,             3492.25,             3492.25,                 .00
         30,DAS,      30513,#,             3122.48,             3122.48,                 .00
         30,SPK,      30528,#,           -22353.99,           -22353.99,                 .00
         30,SPK,      10143,#,           -32379.12,           -32379.12,                 .00
         30,DAS,      10222,#,             2923.25,             2923.25,                 .00
         30,AOS,      10111,#,              -25.21,              -25.21,                 .00
         30,DAS,     580001,C,            -2473.35,            -2473.35,                 .00
         30,AOS,      10040,#,             2977.43,             2977.43,                 .00
         30,DAS,      10060,C,            -7071.93,            -7071.93,                 .00
         30,SPK,      10185,#,           -11035.01,           -11035.01,                 .00
         30,DAS,      30528,#,             2546.88,             2546.88,                 .00
         30,SPK,      30055,#,           -85830.59,           -85830.59,                 .00
         30,POWVT,      30537,#,             3207.83,             3207.83,                 .00
         30,SPK,      10107,#,          -104220.02,          -104220.02,                 .00
         30,AOS,      30530,#,              149.49,              149.49,                 .00
         30,POWVT,      10040,#,           -44883.89,           -44883.89,                 .00
         30,POWVT,      10094,#,            -2957.69,            -2957.69,                 .00
         30,DAS,      10107,C,           -24483.51,           -24483.51,                 .00
         30,POWVT,      30054,#,            -6610.84,            -6610.84,                 .00
         30,POWVT,      10043,#,            -6065.58,            -6065.58,                 .00
         30,DAS,      30537,C,            -4229.60,            -4229.60,                 .00
         30,DAS,      10052,#,            11295.83,            11295.83,                 .00
         30,AOS,      10003,#,            -4186.36,            -4186.36,                 .00
         30,POWVT,      10052,#,           -11068.50,           -11068.50,                 .00
         30,POWVT,      30055,#,           -21563.30,           -21563.30,                 .00
         30,SPK,      30054,#,            -9434.61,            -9434.61,                 .00
         30,SPK,      10102,#,           -55037.23,           -55037.23,                 .00
         30,AOS,        999,#,            47930.64,            47930.64,                 .00
         30,POWVT,      10065,#,           -16499.88,           -16499.88,                 .00
         30,DAS,      10043,C,            -4327.47,            -4327.47,                 .00
         30,SPK,        999,#,         -2086596.56,         -2086596.56,                 .00
         30,DAS,      10153,C,           -14427.50,           -14427.50,                 .00
         30,DAS,      10062,C,            -7281.57,            -7281.57,                 .00
         30,POWVT,      10230,#,           -17158.29,           -17158.29,                 .00
         30,DAS,      10021,#,             3986.80,             3986.80,                 .00
         30,AOS,      30054,#,            -1808.55,            -1808.55,                 .00
         30,SPK,      10060,#,           -18278.03,           -18278.03,                 .00
         30,DAS,      10062,#,             3287.62,             3287.62,                 .00
         30,AOS,      10107,#,            -1453.71,            -1453.71,                 .00
         30,DAS,        999,#,           214274.69,           214274.69,                 .00
         30,SPK,      10065,#,           -13525.24,           -13525.24,                 .00
         30,DAS,      10065,#,             4089.53,             4089.53,                 .00
         30,SPK,      10094,#,            -7354.53,            -7354.53,                 .00
         30,DAS,      10153,#,             4043.64,             4043.64,                 .00
         30,DAS,      10009,C,            -5705.26,            -5705.26,                 .00
         30,DAS,      10228,C,           -47072.68,           -47072.68,                 .00
         30,DAS,      10060,#,             5564.98,             5564.98,                 .00
         30,DAS,      10161,C,           -23968.14,           -23968.14,                 .00
         30,DAS,      30055,#,            13519.84,            13519.84,                 .00
         30,AOS,      10222,#,            -1202.63,            -1202.63,                 .00
         30,AOS,      10103,#,             1061.24,             1061.24,                 .00
         30,POWVT,      10003,#,           -34536.76,           -34536.76,                 .00
         30,POWVT,      10035,#,           -22174.76,           -22174.76,                 .00
         30,POWVT,     580001,#,            -1936.46,            -1936.46,                 .00
         30,POWVT,      10107,#,            15111.64,            15111.64,                 .00
         30,DAS,      10143,C,           -11665.07,           -11665.07,                 .00
         30,DAS,      10094,C,            -4892.81,            -4892.81,                 .00
         30,SPK,      10204,#,           -30235.60,           -30235.60,                 .00
         30,AOS,      10062,#,             -826.38,             -826.38,                 .00
         30,DAS,      30528,C,            -6145.86,            -6145.86,                 .00
         30,AOS,      10185,#,            -3977.00,            -3977.00,                 .00
         30,DAS,      10230,C,           -16847.34,           -16847.34,                 .00
         30,POWVT,      30528,#,             4366.86,             4366.86,                 .00
         30,SPK,      10228,#,           -11788.11,           -11788.11,                 .00
         30,POWVT,      30513,#,              966.10,              966.10,                 .00
         30,POWVT,      10021,#,            -7098.86,            -7098.86,                 .00
         30,SPK,      10052,#,           -24265.36,           -24265.36,                 .00
         30,POWVT,        999,#,          -232252.42,          -232252.42,                 .00
         30,SPK,      30513,#,           -34226.16,           -34226.16,                 .00
         30,SPK,      10013,#,           -81259.41,           -81259.41,                 .00
         30,DAS,      10225,C,           -12831.96,           -12831.96,                 .00
         30,SPK,      10062,#,           -30869.91,           -30869.91,                 .00
         30,AOS,      10228,#,           -14144.67,           -14144.67,                 .00
         30,SPK,     580001,#,           -11685.39,           -11685.39,                 .00
         30,DAS,      10040,#,            14237.51,            14237.51,                 .00
         30,SPK,      10103,#,            -7772.53,            -7772.53,                 .00
         30,AOS,      10149,#,             1513.64,             1513.64,                 .00
         30,AOS,      10092,#,            -8169.92,            -8169.92,                 .00
         30,DAS,      10202,C,            -4252.96,            -4252.96,                 .00
         30,AOS,      10202,#,               62.66,               62.66,                 .00
         30,DAS,      10084,#,            12261.47,            12261.47,                 .00
         30,DAS,      30052,#,             5015.92,             5015.92,                 .00
         30,AOS,      10161,#,             -518.75,             -518.75,                 .00
         30,POWVT,      10225,#,            -4124.46,            -4124.46,                 .00
         30,AOS,      10043,#,            -1444.01,            -1444.01,                 .00
         30,DAS,      10222,C,            -5967.53,            -5967.53,                 .00
         30,SPK,      10222,#,            -9967.00,            -9967.00,                 .00
         30,DAS,      10226,C,            -8454.73,            -8454.73,                 .00
         30,DAS,      10078,#,             6284.50,             6284.50,                 .00
         30,AOS,      10204,#,            -1693.46,            -1693.46,                 .00
         30,POWVT,      10102,#,           -17819.92,           -17819.92,                 .00
         30,AOS,      10153,#,              881.01,              881.01,                 .00
         30,AOS,      10225,#,             2077.74,             2077.74,                 .00
         30,POWVT,      10228,#,           -72173.53,           -72173.53,                 .00
         30,SPK,      30537,#,           -32471.53,           -32471.53,                 .00
         30,SPK,      10202,#,            -7222.44,            -7222.44,                 .00
         30,POWVT,      10092,#,            -8385.28,            -8385.28,                 .00
         30,POWVT,      10078,#,           -24705.79,           -24705.79,                 .00
         30,POWVT,      10009,#,            -9837.85,            -9837.85,                 .00
         30,AOS,      30516,#,             -386.36,             -386.36,                 .00
         30,SPK,      10084,#,           -78851.13,           -78851.13,                 .00
         30,DAS,      30055,C,           -35429.49,           -35429.49,                 .00
         30,SPK,      10021,#,           -10893.88,           -10893.88,                 .00
         30,DAS,      10202,#,             1751.09,             1751.09,                 .00
         30,POWVT,      10149,#,            -3600.43,            -3600.43,                 .00
         30,AOS,      10143,#,              151.36,              151.36,                 .00
         30,AOS,      10102,#,            -2176.66,            -2176.66,                 .00
